Id	Name	SMILES	InChiKey	Source	Origin	TaxId
BGC0000289.0	A40926	CC(C)CCCCCCCCC(=O)N[C@@H]1[C@H]([C@@H]([C@H](O[C@H]1Oc2c3cc4cc2Oc5ccc(cc5Cl)[C@H]([C@H]6C(=O)N[C@@H](c7cc(cc(c7-c8cc(ccc8O)[C@H](C(=O)N6)NC(=O)[C@@H]4NC(=O)[C@@H]9c1cc(cc(c1Cl)O)Oc1ccc(cc1O)[C@H](C(=O)N[C@H](Cc1ccc(cc1)O3)C(=O)N9)NC)O[C@@H]1[C@H]([C@H]([C@@H]([C@H](O1)CO)O)O)O)O)C(=O)O)O)C(=O)O)O)O	CBEOJPSFYAEJBN-PSDJNXLUSA-N	MIBiGv2.0	Nonomuraea gerenzanensis	93944
BGC0000290.0	A-47934	N[C@@H]1C2=CC=C(OS(O)(=O)=O)C(OC3=CC(=CC(O)=C3)[C@@H]3NC(=O)[C@@H](CC4=CC(Cl)=C(OC5=C(O)C6=CC(=C5)[C@@H](NC3=O)C(=O)N[C@@H]3C5=CC(Cl)=C(O)C(=C5)C5=C(O)C=C(O)C=C5[C@H](NC(=O)[C@@H](NC3=O)[C@H](O)C3=CC=C(O6)C(Cl)=C3)C(O)=O)C=C4)NC1=O)=C2	HRGFAEUWEMDRRZ-QLRHZSCISA-N	MIBiGv2.0	Streptomyces toyocaensis	55952
BGC0000294.0	acinetobactin	CC1OC(=NC1C(=O)N(O)CCC1=CNC=N1)C1=CC=CC(O)=C1O	FCWIGDCVHNNXFS-UHFFFAOYSA-N	MIBiGv2.0	Acinetobacter baumannii	470
BGC0000296.0	actinomycin D	[H][C@@]12CCCN1C(=O)[C@]([H])(NC(=O)[C@@]([H])(NC(=O)C1=CC=C(C)C3=C1N=C1C(O3)=C(C)C(=O)C(N)=C1C(=O)N[C@]1([H])C(=O)N[C@]([H])(C(C)C)C(=O)N3CCC[C@@]3([H])C(=O)N(C)CC(=O)N(C)[C@@]([H])(C(C)C)C(=O)O[C@]1([H])C)[C@@]([H])(C)OC(=O)[C@]([H])(C(C)C)N(C)C(=O)CN(C)C2=O)C(C)C	RJURFGZVJUQBHK-IIXSONLDSA-N	MIBiGv2.0	Streptomyces anulatus	1892
BGC0000299.0	alterochromide A	C[C@H](CC)[C@@H]1NC([C@@H](NC([C@@H](NC([C@H](C(C)C)NC([C@H]([C@H](OC1=O)C)NC(/C=C/C=C/C=C/C=C/C2=CC=C(C=C2)O)=O)=O)=O)CC(N)=O)=O)CC(N)=O)=O	NOXVAEGHELSLCZ-NLUZMNHVSA-N	MIBiGv2.0	Pseudoalteromonas piscicida JCM 20779	1117317
BGC0000299.1	bromoalterochromide A	CCC(C)C1NC(=O)C(CC(N)=O)NC(=O)C(CC(N)=O)NC(=O)C(NC(=O)C(NC(=O)\C=C\C=C\C=C\C=C\C2=CC=C(O)C(Br)=C2)C(C)OC1=O)C(C)C	VJNFPXDPZJZUKS-NOEJSRFCSA-N	MIBiGv2.0	Pseudoalteromonas piscicida JCM 20779	1117317
BGC0000299.10	bromoalterochromide B'	O=C([C@@H](NC([C@@H](NC([C@H](C(C)C)NC([C@H]([C@H](OC1=O)C)NC(/C=C/C=C/C=C/C=C/C=C/C2=CC=C(C(Br)=C2)O)=O)=O)=O)CC(N)=O)=O)CC(N)=O)N[C@H]1CC(C)C	YUWZMTMMHSEFLE-UNNUVPEXSA-N	MIBiGv2.0	Pseudoalteromonas piscicida JCM 20779	1117317
BGC0000299.11	dibromoalterochromide B'	O=C([C@@H](NC([C@@H](NC([C@H](C(C)C)NC([C@H]([C@H](OC1=O)C)NC(/C=C/C=C/C=C/C=C/C=C/C2=CC(Br)=C(C(Br)=C2)O)=O)=O)=O)CC(N)=O)=O)CC(N)=O)N[C@H]1CC(C)C	LBEJWSOPKUTOEB-CSICQKJHSA-N	MIBiGv2.0	Pseudoalteromonas piscicida JCM 20779	1117317
BGC0000299.12	alterochromide A''	CC(C)[C@@H]1NC([C@@H](NC([C@@H](NC([C@H](C(C)C)NC([C@H]([C@H](OC1=O)C)NC(/C=C/C=C/C=C/C=C/C2=CC=C(C=C2)O)=O)=O)=O)CC(N)=O)=O)CC(N)=O)=O	PPWHZYRECFVKDR-MOILHBHHSA-N	MIBiGv2.0	Pseudoalteromonas piscicida JCM 20779	1117317
BGC0000299.13	bromoalterochromide A''	CC(C)[C@@H]1NC([C@@H](NC([C@@H](NC([C@H](C(C)C)NC([C@H]([C@H](OC1=O)C)NC(/C=C/C=C/C=C/C=C/C2=CC=C(C(Br)=C2)O)=O)=O)=O)CC(N)=O)=O)CC(N)=O)=O	DTWSFVFVDGAUJA-DEZGTJEFSA-N	MIBiGv2.0	Pseudoalteromonas piscicida JCM 20779	1117317
